function,rows,columns,str_len,repeat,times
apply_lambda_lower,1,1,16,1000,0.00020256100106053054
apply_lambda_lower,1,1,16,1000,0.00019365298794582486
apply_lambda_lower,1,1,16,1000,0.00019318799604661763
apply_lambda_lower,1,1,16,1000,0.00019227300072088838
apply_lambda_lower,1,1,16,1000,0.00019447499653324485
apply_lambda_lower,1,1,16,1000,0.00020149798365309834
apply_lambda_lower,1,1,16,1000,0.0002106000029016286
apply_lambda_lower,1,1,16,1000,0.0002039589744526893
apply_lambda_lower,1,1,16,1000,0.0002030280011240393
apply_lambda_lower,1,1,16,1000,0.0002016540092881769
apply_lambda_lower,1,1,16,1000,0.0002037819940596819
apply_lambda_lower,1,1,16,1000,0.0002035990182776004
apply_lambda_lower,1,1,16,1000,0.00020023799152113497
apply_lambda_lower,1,1,16,1000,0.0001929749851115048
apply_lambda_lower,1,1,16,1000,0.00020861899247393012
apply_lambda_lower,1,1,16,1000,0.00019093797891400754
apply_lambda_lower,1,1,16,1000,0.0001912070147227496
apply_lambda_lower,1,1,16,1000,0.00019805700867436826
apply_lambda_lower,1,1,16,1000,0.00019138999050483108
apply_lambda_lower,1,1,16,1000,0.0001916570181492716
apply_lambda_lower,1,1,16,1000,0.00019389501539990306
apply_lambda_lower,1,1,16,1000,0.0001956979976966977
apply_lambda_lower,1,1,16,1000,0.00021492197993211448
apply_lambda_lower,1,1,16,1000,0.00026113097555935383
apply_lambda_lower,1,1,16,1000,0.000216791988350451
apply_lambda_lower,1,1,16,1000,0.00020086098811589181
apply_lambda_lower,1,1,16,1000,0.0002010930038522929
apply_lambda_lower,1,1,16,1000,0.00019414399866946042
apply_lambda_lower,1,1,16,1000,0.0001915900211315602
apply_lambda_lower,1,1,16,1000,0.00019314300152473152
apply_lambda_lower,1,1,16,1000,0.00019928801339119673
apply_lambda_lower,1,1,16,1000,0.00020657098502852023
apply_lambda_lower,1,1,16,1000,0.0002047469897661358
apply_lambda_lower,1,1,16,1000,0.0002023169945459813
apply_lambda_lower,1,1,16,1000,0.00020027600112371147
apply_lambda_lower,1,1,16,1000,0.0001917569898068905
apply_lambda_lower,1,1,16,1000,0.00019185201381333172
apply_lambda_lower,1,1,16,1000,0.0001922369992826134
apply_lambda_lower,1,1,16,1000,0.00019366599735803902
apply_lambda_lower,1,1,16,1000,0.00019291898934170604
apply_lambda_lower,1,1,16,1000,0.00019148699357174337
apply_lambda_lower,1,1,16,1000,0.0001879399933386594
apply_lambda_lower,1,1,16,1000,0.0001821919868234545
apply_lambda_lower,1,1,16,1000,0.00018168502720072865
apply_lambda_lower,1,1,16,1000,0.00018638998153619468
apply_lambda_lower,1,1,16,1000,0.00019085299572907388
apply_lambda_lower,1,1,16,1000,0.00020123401191085577
apply_lambda_lower,1,1,16,1000,0.00019937599427066743
apply_lambda_lower,1,1,16,1000,0.0002505950105842203
apply_lambda_lower,1,1,16,1000,0.00021620598272420466
apply_lambda_lower,1,1,16,1000,0.00021353099145926535
apply_lambda_lower,1,1,16,1000,0.00019603301188908517
apply_lambda_lower,1,1,16,1000,0.00019194401102140546
apply_lambda_lower,1,1,16,1000,0.0001928699784912169
apply_lambda_lower,1,1,16,1000,0.00019083998631685972
apply_lambda_lower,1,1,16,1000,0.00019153798348270357
apply_lambda_lower,1,1,16,1000,0.0001912869920488447
apply_lambda_lower,1,1,16,1000,0.0001906669931486249
apply_lambda_lower,1,1,16,1000,0.00019657498341985047
apply_lambda_lower,1,1,16,1000,0.00019397801952436566
apply_lambda_lower,1,1,16,1000,0.0001927679986692965
apply_lambda_lower,1,1,16,1000,0.00019331698422320187
apply_lambda_lower,1,1,16,1000,0.000192804989637807
apply_lambda_lower,1,1,16,1000,0.00019643999985419214
apply_lambda_lower,1,1,16,1000,0.0002292220015078783
apply_lambda_lower,1,1,16,1000,0.00023427398991771042
apply_lambda_lower,1,1,16,1000,0.00022918698959983885
apply_lambda_lower,1,1,16,1000,0.00022768499911762774
apply_lambda_lower,1,1,16,1000,0.00021385200670920312
apply_lambda_lower,1,1,16,1000,0.00021456999820657074
apply_lambda_lower,1,1,16,1000,0.00021649699192494154
apply_lambda_lower,1,1,16,1000,0.00020917298388667405
apply_lambda_lower,1,1,16,1000,0.0001929079880937934
apply_lambda_lower,1,1,16,1000,0.00022873800480738282
apply_lambda_lower,1,1,16,1000,0.00019226997392252088
apply_lambda_lower,1,1,16,1000,0.0001901230134535581
apply_lambda_lower,1,1,16,1000,0.00019327300833538175
apply_lambda_lower,1,1,16,1000,0.00019238900858908892
apply_lambda_lower,1,1,16,1000,0.0001915949978865683
apply_lambda_lower,1,1,16,1000,0.00019544799579307437
apply_lambda_lower,1,1,16,1000,0.0001948799763340503
apply_lambda_lower,1,1,16,1000,0.00019438398885540664
